part;vendor;datasheet;density;width;voltage;footprint_default;footprint_filters;temperature;ce;page_size;block_size;cells;speed;alias
MX30LF4G28AD;Macronix;;;x8;2.7 to 3.6V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;4KB;;SLC;;
MX30LF4G18AC;Macronix;;;x8;2.7 to 3.6V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
MX60UF8G18AC;Macronix;;;x8;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;2KB;;SLC;;
MX60LF8G28AD;Macronix;;;x8;2.7 to 3.6V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;4KB;;SLC;;
MX60LF8G18AC;Macronix;;;x8;2.7 to 3.6V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF4G18AC;Macronix;;;x8;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF4G16AC;Macronix;;;x16;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF4G28AC;Macronix;;;x8;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF4G26AB;Macronix;;;x16;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF2G18AC;Macronix;;;x8;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF2G16AC;Macronix;;;x16;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF2G16AB;Macronix;;;x16;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF2G28AB;Macronix;;;x8;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF1G18AC;Macronix;;;x8;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
MX30UF1G16AC;Macronix;;;x16;1.7 to 1.95V;;"[""Package*:*BGA*Layout10x12*P0.8mm*"",""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;2KB;;SLC;;
W29N04GZxxBF;Winbond;;;;;;;;;;;SLC;;
W29N08GVxxAA;Winbond;;;;;;;;;;;SLC;;
W29N08GVxxAF;Winbond;;;;;;;;;;;SLC;;
W29N08GWxxBA;Winbond;;;;;;;;;;;SLC;;
W29N08GWxxBF;Winbond;;;;;;;;;;;SLC;;
W29N08GZxxBA;Winbond;;;;;;;;;;;SLC;;
W29N08GZxxBF ;Winbond;;;;;;;;;;;SLC;;
W29N02GWxxBA;Winbond;;;;;;;;;;;SLC;;
W29N02GZxIBF;Winbond;;;;;;;;;;;SLC;;
W29N02GZxxBA;Winbond;;;;;;;;;;;SLC;;
W29N02KVxxAE;Winbond;;;;;;;;;;;SLC;;
W29N02KVxxAF;Winbond;;;;;;;;;;;SLC;;
W29N04GVxxAA;Winbond;;;;;;;;;;;SLC;;
W29N04GVxxAF ;Winbond;;;;;;;;;;;SLC;;
W29N04GWxxBA;Winbond;;;;;;;;;;;SLC;;
W29N04GWxxBF;Winbond;;;;;;;;;;;SLC;;
W29N04GZxxBA ;Winbond;;;;;;;;;;;SLC;;
W29N01GV;Winbond;;;;;;;;;;;SLC;;
W29N01GW;Winbond;;;;;;;;;;;SLC;;
W29N01GZ;Winbond;;;;;;;;;;;SLC;;
W29N01HVxINA;Winbond;;;;;;;;;;;SLC;;
W29N01HVxINF;Winbond;;;;;;;;;;;SLC;;
W29N01HZWxxNA;Winbond;;;;;;;;;;;SLC;;
W29N01HZWxxNF;Winbond;;;;;;;;;;;SLC;;
W29N02GVxIAA;Winbond;;;;;;;;;;;SLC;;
W29N02GVxIAF;Winbond;;;;;;;;;;;SLC;;
W29N02GWxIBF;Winbond;;;;;;;;;;;SLC;;
TC58NVG0S3HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG0S3HBAI4;1G;;"{""Vcc"":""2.7 to 3.6V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;2048+128;128K+8K;SLC;;
TC58NVG0S3HTA00;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG0S3HTA00;1G;;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to 70°C;;2048+128;128K+8K;SLC;;
TC58NVG0S3HTAI0;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG0S3HTAI0;1G;;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to 85°C;;2048+128;128K+8K;SLC;;
TC58NVG1S3HBAI4;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG1S3HBAI4;2G;;"{""Vcc"":""2.7 to 3.6V""}";Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";-40 to 85°C;;2048+128;128K+8K;SLC;;
TC58NVG1S3HTA00;Kioxia;https://business.kioxia.com/info/docget.jsp?did=14827&prodName=TC58NVG1S3HTA00;2G;;"{""Vcc"":""2.7 to 3.6V""}";Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";0 to 70°C;;2048+128;128K+8K;SLC;;
